class,size,distribution,activity,evolution,previous_24_hours,historical_complexity,become_complex,area,area_of_largest_spot,cClassFlares,mClassFlares,xClassFlares
C,S,O,1,2,1,1,2,1,2,0,0,0
C,K,O,1,2,1,1,2,1,2,0,0,0
C,S,O,1,2,1,1,2,1,2,0,0,0
C,S,O,1,2,1,1,2,1,2,0,0,0
C,K,I,1,2,1,1,2,1,2,0,0,0
E,A,C,1,2,1,1,2,1,2,0,0,0
H,R,X,1,2,1,1,2,1,2,0,0,0
H,S,X,1,2,1,1,2,1,2,0,0,0
H,R,X,1,2,1,1,2,1,2,0,0,0
H,S,X,1,2,1,1,2,1,2,0,0,0
B,X,O,1,2,1,1,2,1,2,0,0,0
C,S,I,1,2,1,1,2,1,2,0,0,0
H,S,X,1,2,1,1,2,1,2,1,1,1
D,K,C,1,2,1,1,2,1,2,0,0,0
D,A,I,1,2,1,1,2,1,2,0,0,0
H,S,X,1,2,1,1,2,1,2,0,0,0
B,X,O,1,1,1,1,1,1,1,0,0,0
C,S,I,1,1,1,1,1,1,1,0,0,0
C,S,O,1,2,1,1,2,1,2,0,0,0
H,K,X,1,2,1,1,2,1,2,0,0,0
D,K,I,1,2,1,1,2,1,2,0,0,0
H,A,X,1,2,1,1,2,1,2,0,0,0
C,R,O,1,2,1,1,2,1,2,0,0,0
C,R,O,1,2,1,1,2,1,2,0,0,0
B,X,O,1,1,1,1,1,1,1,0,0,0
B,X,O,1,1,1,1,1,1,1,0,0,0
H,K,X,1,2,1,1,2,1,2,0,0,0
C,K,I,1,2,1,1,2,1,2,0,0,0
H,S,X,1,2,1,1,2,1,2,0,0,0
B,X,O,1,1,1,1,1,1,1,0,0,0
C,R,I,1,2,1,1,2,1,2,0,0,0
H,R,X,1,2,1,1,2,1,2,0,0,0
B,X,O,1,1,1,1,1,1,1,0,0,0
D,R,O,1,2,1,1,2,1,2,0,0,0
H,K,X,1,2,1,1,2,1,2,0,0,0
D,K,I,1,2,1,1,2,1,2,0,0,0
H,H,X,1,2,1,1,2,1,2,0,0,0
B,X,I,1,1,1,1,1,1,1,0,0,0
B,X,O,1,1,1,1,1,1,1,0,0,0
B,X,I,1,1,1,1,1,1,1,0,0,0
D,R,O,1,2,1,1,2,1,2,0,0,0
H,A,X,1,2,1,1,2,1,2,0,0,0
C,K,O,1,2,1,1,2,1,2,0,0,0
H,S,X,1,2,1,1,2,1,2,0,0,0
B,X,O,1,1,1,1,1,1,1,0,0,0
B,X,O,1,1,1,1,1,1,1,0,0,0
C,R,O,1,1,1,1,1,1,1,0,0,0
B,X,I,1,1,1,1,1,1,1,0,0,0
C,A,O,1,2,1,1,2,1,2,0,0,0
C,K,I,1,2,1,1,2,1,2,0,0,0
H,S,X,1,2,1,1,2,1,2,0,0,0
D,S,I,1,1,1,1,1,1,1,0,0,0
B,X,O,1,1,1,1,1,1,1,0,0,0
B,X,O,1,1,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,2,1,2,0,0,0
H,A,X,1,2,1,1,2,1,2,0,0,0
C,K,I,1,2,1,1,2,1,2,0,0,0
B,X,O,1,2,1,1,2,1,2,0,0,0
H,S,X,1,2,1,1,2,1,2,0,0,0
C,S,O,1,2,1,1,2,1,2,0,0,0
C,A,I,1,2,1,1,2,1,2,0,0,0
H,S,X,1,2,1,1,2,1,2,0,0,0
D,S,O,1,2,1,1,2,1,2,0,0,0
C,S,O,1,2,1,1,2,1,2,0,0,0
B,X,O,1,1,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,2,1,2,0,0,0
C,S,O,1,2,1,1,2,1,2,0,0,0
C,S,O,1,2,1,1,2,1,2,0,0,0
H,A,X,1,2,1,1,2,1,2,0,0,0
B,X,O,1,1,1,1,1,1,1,0,0,0
H,R,X,1,2,1,1,2,1,2,0,0,0
C,S,O,1,2,1,1,2,1,2,0,0,0
H,S,X,1,2,1,1,2,1,2,0,0,0
H,S,X,1,2,1,1,2,1,2,0,0,0
C,S,O,1,2,1,1,2,1,2,0,0,0
C,A,I,1,2,1,1,2,1,2,0,0,0
E,S,I,1,2,1,1,2,1,2,0,0,0
B,X,O,1,1,1,1,1,1,1,0,0,0
D,S,O,1,2,1,1,2,1,2,0,0,0
C,S,O,1,2,1,1,2,1,2,0,0,0
C,S,O,1,2,1,1,2,1,2,0,0,0
H,S,X,1,2,1,1,2,1,2,0,0,0
C,S,O,1,2,1,1,2,1,2,0,0,0
C,S,I,1,2,1,1,2,1,2,0,0,0
D,S,O,1,2,1,1,2,1,2,0,0,0
D,S,O,1,2,1,1,2,1,2,0,0,0
B,X,O,1,2,1,1,2,1,2,0,0,0
C,A,O,1,2,1,1,2,1,2,0,0,0
C,S,O,1,2,1,1,2,1,2,0,0,0
C,R,I,1,2,1,1,2,1,2,0,0,0
B,X,O,1,2,1,1,2,1,2,0,0,0
B,X,I,1,2,1,1,2,1,2,0,0,0
D,H,O,1,2,1,1,2,1,2,0,0,0
H,S,X,1,2,1,1,2,1,2,0,0,0
H,R,X,1,2,1,1,2,1,2,0,0,0
H,A,X,1,2,1,1,2,1,2,0,0,0
C,R,I,1,2,1,1,2,1,2,0,0,0
C,R,O,1,2,1,1,2,1,2,0,0,0
D,K,O,1,2,1,1,2,1,2,0,0,0
D,R,O,1,2,1,1,2,1,2,0,0,0
H,S,X,1,2,1,1,2,1,2,0,0,0
B,X,O,1,1,1,1,1,1,1,0,0,0
B,X,I,1,2,1,1,2,1,2,0,0,0
B,X,O,1,1,1,1,1,1,1,0,0,0
C,S,O,1,2,1,1,2,1,2,0,0,0
D,A,I,1,2,1,1,2,1,2,0,0,0
B,X,O,1,2,1,1,2,1,2,0,0,0
B,X,O,1,2,1,1,2,1,2,0,0,0
B,X,I,1,1,1,1,1,1,1,0,0,0
B,X,I,1,1,1,1,1,1,1,0,0,0
D,A,I,1,2,1,1,2,1,2,0,0,0
C,H,I,1,2,1,1,2,1,2,0,0,0
D,K,O,1,2,1,1,2,1,2,0,0,0
B,X,O,1,2,1,1,2,1,2,0,0,0
C,K,I,1,1,1,1,1,1,1,0,0,0
C,A,O,1,2,1,1,2,1,2,0,0,0
D,A,I,1,2,1,1,2,1,2,0,0,0
B,X,O,1,2,1,1,2,1,2,0,0,0
B,X,I,1,2,1,1,2,1,2,0,0,0
B,X,O,1,2,1,1,2,1,2,0,0,0
B,X,I,1,2,1,1,2,1,2,0,0,0
B,X,I,1,1,1,1,1,1,1,0,0,0
C,A,I,1,2,1,1,2,1,2,0,0,0
C,H,I,1,2,1,1,2,1,2,0,0,0
F,K,I,1,2,1,1,2,1,2,0,0,0
C,R,O,1,2,1,1,2,1,2,0,0,0
E,A,O,1,2,1,1,2,1,2,0,0,0
C,S,O,1,2,1,1,2,1,2,0,0,0
D,A,I,1,2,1,1,2,1,2,0,0,0
B,X,O,1,2,1,1,2,1,2,0,0,0
C,R,O,1,2,1,1,2,1,2,0,0,0
D,S,I,1,2,1,1,2,1,2,0,0,0
H,A,X,1,2,1,1,2,1,2,0,0,0
B,X,O,1,1,1,1,1,1,1,0,0,0
C,A,O,1,2,1,1,2,1,2,0,0,0
D,H,I,1,2,1,1,2,1,2,0,0,0
F,A,I,1,2,1,1,2,1,2,0,0,0
E,K,O,1,2,1,1,2,1,2,0,0,0
H,S,X,1,2,1,1,2,1,2,0,0,0
D,K,C,1,2,1,1,2,1,2,0,0,0
B,X,O,1,1,1,1,1,1,1,0,0,0
B,X,O,1,1,1,1,1,1,1,0,0,0
D,A,I,1,2,1,1,2,1,2,0,0,0
C,A,I,1,2,1,1,2,1,2,0,0,0
H,R,X,1,2,1,1,2,1,2,0,0,0
C,R,O,1,1,1,1,1,1,1,0,0,0
D,H,I,1,2,1,1,2,1,2,0,0,0
E,K,I,1,2,1,1,2,1,2,0,0,0
E,K,I,1,2,1,1,2,1,2,0,0,0
C,S,O,1,2,1,1,2,1,2,0,0,0
D,K,C,1,2,1,1,2,1,2,0,0,0
B,X,O,1,1,1,1,1,1,1,0,0,0
B,X,O,1,1,1,1,1,1,1,0,0,0
D,S,O,1,2,1,1,2,1,2,0,0,0
H,R,X,1,2,1,1,2,1,2,0,0,0
H,A,X,1,2,1,1,2,1,2,0,0,0
H,R,X,1,2,1,1,2,1,2,0,0,0
H,S,X,1,2,1,1,2,1,2,0,0,0
C,R,I,1,2,1,1,2,1,2,0,0,0
C,H,I,1,2,1,1,2,1,2,0,0,0
F,A,I,1,2,1,1,2,1,2,0,0,0
E,K,I,1,2,1,1,2,1,2,0,0,0
H,S,X,1,2,1,1,2,1,2,0,0,0
D,K,C,1,2,1,1,2,1,2,1,1,1
D,S,I,1,2,1,1,2,1,2,0,0,0
H,A,X,1,2,1,1,2,1,2,1,1,1
H,R,X,1,1,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,2,1,2,0,0,0
B,X,O,1,2,1,1,2,1,2,0,0,0
C,H,O,1,2,1,1,2,1,2,0,0,0
F,A,I,1,2,1,1,2,1,2,0,0,0
E,K,C,1,2,1,1,2,1,2,0,0,0
C,S,O,1,2,1,1,2,1,2,0,0,0
D,K,C,2,2,2,2,2,2,2,0,0,0
C,S,O,1,2,1,1,2,1,2,0,0,0
C,R,O,1,1,1,1,1,1,1,0,0,0
B,X,O,1,1,1,1,1,1,1,0,0,0
H,R,X,1,2,1,1,2,1,2,0,0,0
E,A,I,1,2,1,1,2,1,2,0,0,0
B,X,O,1,1,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,2,1,2,0,0,0
E,A,I,1,2,1,1,2,1,2,0,0,0
E,K,I,1,2,1,1,2,1,2,0,0,0
H,S,X,1,2,1,1,2,1,2,0,0,0
D,K,C,2,2,2,2,2,2,2,0,0,0
C,S,I,1,1,1,1,1,1,1,0,0,0
B,X,O,1,1,1,1,1,1,1,0,0,0
E,A,I,1,2,1,1,2,1,2,0,0,0
B,X,O,1,1,1,1,1,1,1,0,0,0
H,K,X,1,2,1,1,2,1,2,0,0,0
F,K,I,2,2,2,2,2,2,2,0,0,0
E,A,I,1,2,1,1,2,1,2,0,0,0
H,H,X,1,2,1,1,2,1,2,0,0,0
D,K,C,2,2,2,2,2,2,2,0,0,0
C,A,O,1,2,1,1,2,1,2,0,0,0
E,K,I,1,2,1,1,2,1,2,0,0,0
H,S,X,1,2,1,1,2,1,2,0,0,0
F,S,O,1,2,1,1,2,1,2,0,0,0
E,A,I,1,2,1,1,2,1,2,0,0,0
H,S,X,1,2,1,1,2,1,2,0,0,0
D,K,C,2,2,2,2,2,2,2,0,0,0
H,S,X,1,2,1,1,2,1,2,0,0,0
E,S,I,1,2,1,1,2,1,2,0,0,0
H,S,X,1,2,1,1,2,1,2,0,0,0
F,S,O,1,2,1,1,2,1,2,0,0,0
E,S,O,1,2,1,1,2,1,2,0,0,0
H,S,X,1,2,1,1,2,1,2,0,0,0
D,K,C,2,2,2,2,2,2,2,0,0,0
H,S,X,1,2,1,1,2,1,2,0,0,0
C,S,O,1,2,1,1,2,1,2,0,0,0
B,X,O,1,1,1,1,1,1,1,0,0,0
B,X,O,1,1,1,1,1,1,1,0,0,0
H,S,X,1,2,1,1,2,1,2,0,0,0
H,S,X,1,2,1,1,2,1,2,0,0,0
E,A,O,1,2,1,1,2,1,2,0,0,0
H,S,X,1,2,1,1,2,1,2,0,0,0
D,K,C,2,2,2,2,2,2,2,1,1,1
H,S,X,1,2,1,1,2,1,2,0,0,0
C,A,O,1,2,1,1,2,1,2,0,0,0
D,A,O,1,2,1,1,2,1,2,0,0,0
D,S,O,1,2,1,1,2,1,2,0,0,0
C,S,O,1,2,1,1,2,1,2,0,0,0
H,S,X,1,2,1,1,2,1,2,0,0,0
D,K,C,2,2,2,2,2,2,2,0,0,0
C,R,O,1,2,1,1,2,1,2,0,0,0
D,R,O,1,2,1,1,2,1,2,0,0,0
E,A,O,1,2,1,1,2,1,2,0,0,0
C,R,O,1,1,1,1,1,1,1,0,0,0
E,K,C,2,2,2,2,2,2,2,0,0,0
